Región,0-14 años (%) cambio,16-59 años (%) cambio,60 y más (%) cambio
Total país,-5.3,-2.8,8.1
Arica y Parinacota,-4.6,-4.4,9.0
Tarapacá,-4.2,-2.1,6.3
Antofagasta,-3.8,-5.0,8.8
Atacama,-5.0,-2.0,7.0
Coquimbo,-5.2,-1.7,6.9
Valparaíso,-5.6,-3.1,8.7
Metropolitana,-4.1,-3.1,7.2
O´Higgins,-7.3,-2.0,9.3
Maule,-6.6,-3.2,9.8
Ñuble,-6.6,-5.0,11.6
Biobio,-7.1,-5.0,12.1
La Aracucanía,-7.1,-4.3,11.4
Los Ríos,-5.9,-4.3,10.2
Los Lagos,-4.8,-3.7,8.5
Aysén,-5.4,-4.1,9.5
Magallanes,-7.1,-5.8,12.9